"P=? [ (true) U<Time (D=3) ]:"
"Time"
60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5, 3.0015998830074704E-5

"P=? [ (true) U<Time (D=3) ]:"
"Time"
60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783, 0.002014753933355783

"P=? [ (true) U<Time (D=3) ]:"
"Time"
60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010233772350801188, 0.0015430735083714815, 0.0018069292317644998, 0.001940862765319167, 0.002008833306792324, 0.002043320934022523, 0.0020608161603384986, 0.002069689597014586, 0.0020741892856658358, 0.002076470644410309, 0.00207762709561568, 0.0020782132144430815, 0.0020785102241213643, 0.002078660705917981, 0.0020787369362071585, 0.002078775546503015, 0.002078795099454378, 0.0020788049999456216, 0.0020788100122559167, 0.002078812549471832, 0.0020788138336243814, 0.002078814483480055, 0.002078814812301139, 0.002078814978660078, 0.002078815062814631, 0.002078815105379894, 0.0020788151269067394, 0.002078815137792379, 0.0020788151432963625
